All,Visi
"Variable HTML Value","Mainīgā HTML vērtība"
"Variable Plain Value","Mainīgā vienkārš vērtība"
"You deleted the custom variable.","Mainīgais tika nodzēsts."
"You saved the custom variable.","Mainīgais tika saglabāts."
"Variable Code must be unique.","Mainīgā kodam jābūt unikālam."
"Validation has failed.","Kļūdaina validācija."
"Variable ID","Mainīgā ID"
"No token found.","Nav atrasts marķieris."
"Wrong request.","Nepareizs pieprasījums."
"Deletion failure. Please try again.","Dzēšanas kļūda. Mēģiniet vēlreiz."
"Stored Payment Method was successfully removed","Saglabātais Maksājumu veids ir nodzēsts"
"Stored Payment Methods","Saglabātie Maksājumu veidi"
"You have no stored payment methods.","Jums nav saglabātas maksājumu metodes."
"Specify the ""public_hash"" value.","Norādiet ""public_hash"" vērtību."
"Could not find a token using public hash: %1","Nevar atrast marķieri kurš lietot publisko kontrolsummu: %1"
"Not Selected","Nav izvēlēts"
"Search All Products","Meklēt Visus Produktus"
"Add Product by SKU","Pievienot produktus pēc SKU"
Bottom,Apakšā
"Clone category ID(s)","Klonēt kategoriju ID(s)"
"Date Created (days ago)","Izveidošanas datums (dienas atpakaļ)"
"Date Modified (days ago)","Labošanas datums (dienas atpakaļ)"
"Not equal","Nav vienāds"
Contains,Satur
"Name: A - Z","Nosaukums: A - Z"
"Name: Z - A","Nosaukums: Z - A"
"Move out of stock to bottom","Produktus kuri nav pieejami krājumā pārvietot uz leju"
"Sort by color","Kārtot pēc krāsas"
"Special price to bottom","Īpašās cenas lejā"
"Special price to top","Īpašās cenas augšā"
"Product image","Produkta attēls"
Attribute,Atribūts
Logic,Loģika
"Save and Close","Saglabāt un aizvērt"
"Visual Merchandiser","Vizuālais merčendaizeris"
"Operation allowed only in HTTPS","Darbība atļauta tika ja ir HTTPS"
"Cannot perform GET operation with store code 'all'","Nevar izpildīt GET operāciju veikalam ar kodu 'all'"
"Request does not match any route.","Pieprasījums neatbilst nevienam ceļam."
"Not allowed parameters: %1. Please use only %2 and %3.","Neatļauts parametrs: %1. Lietojiet tikai %2 un %3."
"Requested service is not available: ""%1""","Pieprasītais serviss nav pieejams: ""%1"""
"Operation ""%1"" not found.","Operācija ""%1"" nav atrasta."
"SOAP extension is not loaded.","SOAP paplašinājums nav ielādēts."
"Invalid XML","Nederīgs XML"
"Invalid XML: Detected use of illegal DOCTYPE","Nederīgs XML: noteikts aizliegts DOCTYPE"
"Soap fault reason.","Soap kļūdas iemesls."
"Manage Customers","Pārvaldīt klientus"
"Create Customer","Izveidot klientu"
"Edit Customer","Rediģējiet klientu"
"Get Customer","Jauns klients"
"SOAP Settings","SOAP iestatījumi"
"Default Response Charset","Noklusētais atbildes kodējums"
"If empty, UTF-8 will be used.","Ja tukšs, tiks izmantots UTF-8."
"Web Services Configuration","Web Servisu konfigurācija"
"REST and SOAP configurations, generated WSDL file","REST un SOAP konfigurācijas, ģenerēts WSDL fails"
"WebapiAsync config for ""%topicName"" does not exist.","WebapiAsync konfigurācija priekš ""%topicName"" neeksistē."
"WebapiAsync config for ""%lookupKey"" does not exist.","WebapiAsync konfigurācija priekš ""%lookupKey"" neeksistē."
"Web API Security","Web API drošība"
"Allow Anonymous Guest Access","Atļaut anonīmu viesu piekļuvi"
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.","Šis līdzeklis attiecas tikai uz CMS, Katalogu un Veikala API. Konsultējaties ar izstrādātājiempar iespējamiem drošības riskiem."
"503 Service Unavailable","503 Serviss nav pieejams"
"Website Closed","Lapa ir slēgta"
"Private Sales: Login Only","Privātā pārdošana: tikai pieslēdzoties"
"Private Sales: Login and Register","Privātā pārdošana: reģistrēties un pieslēgties"
"To login form (302 Found)","Uz pieslēgšanās lapu (302 atrasts)"
"To landing page (302 Found)","Uz piezemēšanās lapu (302 atrasts)"
"Access Restriction","Piekļuves liegumi"
"Restriction Mode","Liegtas piekļuves režīms"
"Applicable only if restriction mode is set to ""Private Sales"".","Pieejams tikai ja liegtas piekļuves režīms iestatīts uz ""Privātā pārdošana""."
"HTTP Response","HTTP atbilde"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Pieejams tikai ja liegtas piekļuves režīms iestatīts uz ""Lapa ir slēgta"". Nolaišanās lapa tiek rādīta kā neformatēts HTML."
"Add Tax","Pievienot nodokli"
"Delete Tax","Dzēst nodokli"
FPT,"Fiksētā nodokļu likme"
"Including FPT only","Iekļaut tikai VN"
"Including FPT and FPT description","Iekļaut VN un VN aprakstu"
"Excluding FPT. Including FPT description and final price","Izņemot fiksēto nodokļu likmi. Iekļaujot fiksētās nodokļu likmes aprakstu un vērtību"
"Excluding FPT","Neiekļaut VN"
"Fixed Product Tax","Valsts Nodeva"
Country/State,Valsts/Štats
"Total Incl. Tax","Kopā ar nodokli"
"Final Price","Gala cena"
"Fixed Product Taxes","Valsts Nodevas"
"Enable FPT","Ieslēgt VN"
"Display Prices In Product Lists","Rādīt cenas produktu sarakstos"
"Display Prices On Product View Page","Rādīt cenas produkta skata lapā"
"Display Prices In Sales Modules","Rādīt cenas pārdošanas moduļos"
"Display Prices In Emails","Rādīt cenas e-pastos"
"Apply Tax To FPT","Pielietot nodokli fiksētajai nodokļu likmei"
"Include FPT In Subtotal","Iekļaut VN starpsummā"
"Widget Insertion","Logrīka iespraušana"
"Insert Widget","Ievietot logrīku"
Choose...,Izvēlēties...
"Inserting a widget does not create a widget instance.","Rīkloga ievietošana neizveido pašu rīklogu."
"Widget Type","Logrīka veids"
"Manage Widget Instances","Pārvaldīt logrīkus"
"Add Widget","Pievienot logrīku"
"Widget ""%1""","Logrīks ""%1"""
"New Widget Instance","Jauns logrīks"
"Custom Layouts","Pielāgots izkārtojums"
"Page Layouts","Lapas izkārtojums"
"Please Select Container First","Izvēlieties no sākuma konteineru"
"Design Package/Theme","Dizaina paka/tēma"
"Widget Title","Logrīka nosaukums"
"Assign to Store Views","Piešķirt veikala skatā"
"Sort Order of widget instances in the same container","Logrīku šķirošanas kārtība vienā konteinerā"
"Layout Updates","Izkārtojuma atjauninājumi"
"Anchor Categories","Enkuru kategorijas"
"Non-Anchor Categories","Kategorijas bez enkuriem"
"All Product Types","Visi produktu veidi"
"Generic Pages","Vispārīgās lapas"
"All Pages","Visas lapas"
"Specified Page","Norādītā lapa"
"Add Layout Update","Pievienot izkārtojuma atjaunināšanu"
"Widget Options","Logrīka opcijas"
"Please specify a Widget Type.","Norādiet logrīka veidu."
"Please specify a correct widget.","Norādiet pareizu logrīku."
"The widget instance has been deleted.","Logrīks tika nodzēsts."
"New Widget","Jauns logrīks"
Widgets,Logrīki
"The widget instance has been saved.","Logrīks tika saglabāts."
description,apraksts
"We cannot create the widget instance because it is missing required information.","Nevar izveidot logrīku, jo trūkst visa nepieciešamā informācija."
"Remove Layout Update","Noņemt izkārtojuma atjauninājumu"
"Specific %1","Specifisks %1"
"Defines whether a link to My Account","Nosaka vai saitēt uz Manu kontu"
"Widget ID","Logrīka ID"
"Wish List Sharing","Vēlmju saraksta koplietošana"
"My Wish List","Mans vēlmju saraksts"
"We can't specify a product.","Nevaram norādīt produktu."
"We can't add the item to Wish List right now: %1.","Nevar pievienot produktu Vēlmju sarakstam: %1."
"We can't add the item to Wish List right now.","Nevar pievienot produktu Vēlmju sarakstam."
"We can't add the item to the cart right now.","Pašlaik nevar pievienot produktu grozam."
"%1 has been moved to your wish list.","%1 tika pievienots Vēlmju sarakstam."
"We can't move the item to the wish list.","Nevar pievienot produktu Vēlmju sarakstam."
"You must login or register to add items to your wishlist.","Jums jāpieslēdzas lai varētu pievienot produktus Vēlmju sarakstam."
"We can't delete the item from Wish List right now because of an error: %1.","Nevar nodzēst produktu no Vēlmju saraksta. Kļūda: %1."
"We can't delete the item from the Wish List right now.","Pašlaik nevar nodzēst produktu no Vēlmju saraksta."
"Message length must not exceed %1 symbols","Ziņas garums nevar pārsniegt %1 simbolus"
"Your wish list has been shared.","Vēlmju saraksts tika koplietots."
"We can't delete item from Wish List right now.","Pašlaik nevar nodzēst produktu no Vēlmju saraksta."
"%1 has been updated in your Wish List.","%1 tika atjaunots Vēlmju sarakstā."
"Can't save description %1","Nevar saglabāt aprakstu %1"
"Can't update wish list","Nevar atjaunot vēlmju sarakstu"
"We can't update your Wish List right now.","Pašlaik nevar atjaunot Vēlmju sarakstu."
"The requested Wish List doesn't exist.","Pieprasītais vēlmju saraksts neeksistē."
"Display number of items in wish list","Parādīt produktu skaitu Vēlmju sarakstā"
"We can't specify a wish list.","Nevar norādīt Vēlmju sarakstu."
"Product is not salable.","Produkts nav pārdošanā."
"%1 for ""%2"".","%1 par ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","Grozam nevarēja pievienot sekojošus produktus: %1."
"We can't update the Wish List right now.","Pašlaik nevar atjaunot Vēlmju sarakstu."
Comment:,Komentārs:
"We cannot retrieve the Wish List.","Nevar pieprasīt Vēlmju sarakstu."
"%1's Wishlist","%1 Vēlmju saraksts"
"We can't specify a wish list item.","Nevar norādīt Vēlmju saraksta produktu."
error-message,"kļūdas paziņojums"
"Product Exception.","Produkta izņēmums."
"Share Wish List","Koplietot Vēlmju sarakstu"
"Add All to Cart","Pievienot grozam visus"
"Update Wish List","Atjaunot Vēlmju sarakstu"
"Move to Wishlist","Pārvietot uz vēlmju sarakstu"
"View Product","Apskatīt produktu"
"This Wish List has no Items","Šajā vēlmju sarakstā nav produktu"
"%1 has been added to your Wish List.","%1 tika pievienots Jūsu vēlmju sarakstam."
"RSS link to %1's wishlist","RSS barotne %1 vēlmu sarakstam"
"RSS Feed","RSS barotne"
"Wish List is empty now.","Vēlmju saraksts ir tukšs."
"Email addresses, separated by commas","E-pasta adrese, atdalītas ar komatu"
"Check here to link an RSS feed to your Wish List.","Atzīmējiet, lai pievienotu Vēlmju sarakstu RSS plūsmai."
"Last Added Items","Pēdējie pievienotie produkti"
"Go to Wish List","Iet uz Vēlmju sarakstu"
"You have no items in your wish list.","Jums nav produktu Vēlmju sarakstā."
"Take a look at %customer_name's Wish List","Apskatīt %customer_name's Vēlmju sarakstu"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name vēlas koplietot ar Jums savu Vēlmju sarakstu no %store_name :"
"View all Wish List items","Skatīt visus Vēlmju saraksta produktus"
"Wish List Section","Vēlmju saraksta sadaļa"
"Share Options","Koplietošanas opcijas"
"Max Emails Allowed to be Sent","Maksimāli atļautais vēstuļu skaits e-pastu sūtīšanai"
"10 by default. Max - 10000","10 pēc noklusējuma. Maksimālais - 10000"
"Email Text Length Limit","E-pasta teksta garuma limits"
"Show in Sidebar","Rādīt sānu joslā"
"My Wish List Link","Mana Vēlmju saraksta saite"
"Display Wish List Summary","Rādīt Vēlmju saraksta kopsavilkumu"
"No Items Found","Nav atrasti produkti"
"User Description","Lietotāja apraksts"
"Product Details and Comment","Produkta informācija un komentāri"
"Missing key ""model"" in Wishlist Item value data","Nav pieejama atslēga ""model"" Vēlmju saraksta vienības datos"
"Missing key ""model"" in Wishlist value data","Nav pieejama atslēga ""model"" Vēlmju saraksta datos"
"Credit card type","Kredītkartes veids"
"CVV result","CVV rezultāts"
"Postcode AVS check","Pasta indeksa AVS pārbaude"
"Address AVS check","Adreses AVS pārbaude"
"Country comparison check","Valstu salīdzinājuma pārbaude"
"Not supported","Netiek atbalstīts"
"Not checked","Nav pārbaudīts"
Matched,Atbilst
"Not matched",Neatbilst
"Partially matched","Atbilst daļēji"
"No such order id.","Nav šāda pasūtījuma id."
"Your purchase process has been cancelled.","Jūsu pirkums ir atcelts."
"Gateway response is not valid.","Vārtejas atbilde nav derīga."
"Currency doesn't match.","Valūtas nesakrīt."
"Amount doesn't match.","Summas neatbilst."
"Not supported response.","Atbilde netiek atbalstīta."
"Gateway processing error.","Vārtejas darbības kļūda."
"Transaction was not placed.","Transakcija nav uzsākta."
Refused,Atteikts
Authorised,Autorizēts
Captured,Saņemts
"Please click ","Lūdzu, noklikšķiniet "
" if you are not redirected automatically."," ja netiekat pārvirzīts automātiski."
"You will be redirected to the Worldpay website.","Jūs tiksiet pārvirzīts uz Worldpay lapu."
"Continue to Worldpay","Turpināt uz Worldpay"
"Payment Response Password","Maksājuma atbildes parole"
"Remote Admin Installation ID","Attālinātās administrēšanas instalācijas ID"
"Remote Admin Authorisation Password","Attālinātās administrēšanas autorizācijas parole"
"MD5 Secret for Transactions","MD5 parole transakcijām"
"Allow To Edit Contact Information","Atļaut labot kontaktinformāciju"
"Hide Contact Information","Paslēpt kontaktinformāciju"
"Payment Action for Test","Maksājuma darbība testam"
"Payment From Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment From Specific Countries","Maksājumi no noteiktām valstīm"
"Set Order Status to Suspected Fraud for CVV","Iestatīt pasūtījuma statusu kā aizdomīgu par krāpšanu priekš CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Iestatīt pasūtījuma statusu kā aizdomīgu par krāpšanu priekš Pasta indeksa AVS"
"Payment was canceled.","Maksājums tika atcelts."
"Your payment has been successfully processed by our shop system.","Jūsu maksājums tika veiksmīgi apstrādāts."
"Payment was canceled","Maksājums tika atcelts"
"Please ","Lūdzu "
"continue shopping","turpināt iepirkšanos"
"Transaction has been canceled","Transakcija tika atcelta"
"Transaction has been declined","Transakcija tika noraidīta"
"The response type is incorrect. Verify the type and try again.","Nepareiza atbildes veids. Pārbaudiet un mēģiniet vēlreiz."
"Quick Checkout","Ātrā iepirkšanās"
"Store alternative addresses","Saglabāt vairākas piegādes/maksātāja adreses"
"For shipping to multiple family members and friends","Piegādei vairākiem saņēmējiem"
"Credit memo for your %store_name order","Jūsu pasūtījuma kredītrēķins no %store_name"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ja Jums ir jautājumi par pasūtījumu, sazinaties ar mums sūtot e-pastu uz <a href=""mailto:%store_email"">%store_email</a>."
"Update to your %store_name credit memo","Kredītrēķina atjauninājumi no %store_name"
"Invoice for your %store_name order","Jūsu pasūtījuma rēķins no %store_name"
"Update to your %store_name invoice","Rēķina atjauninājumi no %store_name"
"Your %store_name order confirmation","Jūsu pasūtījuma apsiprinājums no %store_name"
"Update to your %store_name order","Pasūtījuma atjauninājumi no %store_name"
"Your %store_name order has shipped","Jūsu pasūtījums no %store_name ir izsūtīts"
"Update to your %store_name shipment","Piegādes atjauninājumi no %store_name"
"Backup options","Rezerves kopijas opcijas"
Warning,Brīdinājums
"Recent items","Nesen pievienotie produkti"
"Show all...","Parādīt visus..."
"Please specify Url.","Lūdzu, norādiet URL."
"Method %s does not exist on jQuery.decorate","jQuery.decorate metode %s neeksistē"
"Please wait...","Lūdzu, uzgaidiet..."
"All %1","Visi %1"
